LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1729244946.111510,321023.000,46159,1,EL,1,100,-18903.000000
1729244946.178010,321089.500,46176,2,EL,1,100,-18903.000000
1729244946.244509,321156.000,46176,2,EL,1,100,-18903.000000
1729244946.311509,321223.000,46193,1,EL,1,100,-18903.000000
1729244946.378009,321289.500,46207,2,EL,1,100,-18903.199219
1729244946.444508,321356.000,46207,2,EL,1,100,-18903.000000
1729244946.511508,321423.000,46225,1,EL,1,100,-18903.599609
1729244946.578007,321489.500,46241,2,EL,1,100,-18903.599609
1729244946.644507,321556.000,46241,2,EL,1,100,-18903.400391
1729244946.711507,321623.000,46258,1,EL,1,100,-18903.800781
1729244946.778007,321689.500,46273,2,EL,1,100,-18903.599609
1729244946.844506,321756.000,46273,2,EL,1,100,-18903.199219
1729244946.911506,321823.000,46292,1,EL,1,100,-18903.599609
1729244946.978006,321889.500,46308,2,EL,1,100,-18903.400391
1729244947.044505,321956.000,46308,2,EL,1,100,-18903.000000
1729244947.111505,322023.000,46325,1,EL,1,100,-18904.000000
1729244947.178005,322089.500,46340,2,EL,1,100,-18903.400391
1729244947.244504,322156.000,46340,2,EL,1,100,-18903.599609
1729244947.311504,322223.000,46357,1,EL,1,100,-18903.800781
1729244947.378004,322289.500,46373,2,EL,1,100,-18903.400391
1729244947.444503,322356.000,46373,2,EL,1,100,-18903.599609
1729244947.511503,322423.000,46391,1,EL,1,100,-18903.599609
1729244947.578003,322489.500,46405,2,EL,1,100,-18903.000000
1729244947.644502,322556.000,46405,2,EL,1,100,-18903.199219
1729244947.711502,322623.000,46422,1,EL,1,100,-18903.000000
1729244947.778002,322689.500,46441,2,EL,1,100,-18903.000000
1729244947.844501,322756.000,46441,2,EL,1,100,-18903.000000
1729244947.911001,322822.500,46458,2,EL,1,100,-18903.000000
1729244947.977501,322889.000,46458,2,EL,1,100,-18903.000000
1729244948.044500,322956.000,46474,1,EL,1,100,-18902.800781
1729244948.111000,323022.500,46490,2,EL,1,100,-18902.599609
1729244948.177500,323089.000,46490,2,EL,1,100,-18902.400391
1729244948.244499,323156.000,46508,1,EL,1,100,-18902.800781
1729244948.310999,323222.500,46525,2,EL,1,100,-18902.800781
1729244948.377499,323289.000,46525,2,EL,1,100,-18902.800781
1729244948.444499,323356.000,46541,1,EL,1,100,-18902.599609
1729244948.510998,323422.500,46557,2,EL,1,100,-18903.000000
1729244948.577498,323489.000,46557,2,EL,1,100,-18903.000000
1729244948.644498,323556.000,46573,1,EL,1,100,-18903.000000
1729244948.710997,323622.500,46590,2,EL,1,100,-18902.800781
1729244948.777497,323689.000,46590,2,EL,1,100,-18903.000000
1729244948.844496,323756.000,46609,1,EL,1,100,-18903.000000
1729244948.910996,323822.500,46624,2,EL,1,100,-18903.599609
1729244948.977496,323889.000,46624,2,EL,1,100,-18903.599609
1729244949.044496,323956.000,46640,1,EL,1,100,-18904.000000
1729244949.110995,324022.500,46658,2,EL,1,100,-18904.199219
1729244949.177495,324089.000,46658,2,EL,1,100,-18904.800781
1729244949.244495,324156.000,46674,1,EL,1,100,-18905.000000
1729244949.310994,324222.500,46689,2,EL,1,100,-18904.800781
1729244949.377494,324289.000,46689,2,EL,1,100,-18905.000000
1729244949.444494,324356.000,46707,1,EL,1,100,-18905.199219
1729244949.510993,324422.500,46725,2,EL,1,100,-18905.199219
1729244949.577493,324489.000,46725,2,EL,1,100,-18905.199219
1729244949.644493,324556.000,46741,1,EL,1,100,-18905.000000
1729244949.710992,324622.500,46757,2,EL,1,100,-18905.400391
1729244949.777492,324689.000,46757,2,EL,1,100,-18905.400391
1729244949.843992,324755.500,46773,2,EL,1,100,-18906.000000
1729244949.910491,324822.000,46773,2,EL,1,100,-18906.000000
